"wavelength";"Alb";"PLP";"Com"
"339.5";597,5191007;2196,1802;4866,803505
"340";597,5191007;2196,1802;4843,292377
"340.5";597,5191007;2204,4193;4796,27012
"341";597,5191007;2208,0358;4749,247864
"341.5";597,5191007;2219,0292;4725,736736
"342";597,5191007;2227,2683;4678,71448
"342.5";597,5191007;2241,8782;4631,692224
"343";597,5191007;2251,0033;4584,669968
"343.5";597,5191007;2268,3675;4561,15884
"344";597,5191007;2291,2165;4514,136584
"344.5";597,5191007;2300,3417;4467,114328
"345";597,5191007;2324,0767;4420,092072
"345.5";531,1280895;2346,9257;4349,558688
"346";531,1280895;2364,2899;4302,536432
"346.5";531,1280895;2390,7793;4255,514176
"347";531,1280895;2422,7534;4208,491919
"347.5";531,1280895;2445,6024;4137,958535
"348";531,1280895;2469,3375;4090,936279
"348.5";531,1280895;2500,4255;4020,402895
"349";464,7370783;2524,1606;3973,380639
"349.5";464,7370783;2556,1347;3902,847255
"350";464,7370783;2588,1089;3832,313871
"350.5";464,7370783;2620,083;3785,291615
"351";464,7370783;2654,8114;3691,247103
"351.5";464,7370783;2686,7856;3644,224846
"352";464,7370783;2725,1305;3573,691462
"352.5";398,3460671;2765,3437;3503,158078
"353";398,3460671;2790,947;3432,624694
"353.5";398,3460671;2832,0463;3362,09131
"354";398,3460671;2873,1456;3268,046798
"354.5";398,3460671;2919,7296;3197,513414
"355";464,7370783;2945,3329;3126,98003
"355.5";464,7370783;2988,3004;3056,446645
"356";398,3460671;3025,7593;2985,913261
"356.5";398,3460671;3070,4751;2915,379877
"357";398,3460671;3113,4426;2844,846493
"357.5";398,3460671;3153,6559;2774,313109
"358";464,7370783;3201,126;2680,268597
"358.5";464,7370783;3235,8544;2609,735213
"359";464,7370783;3282,4384;2539,201828
"359.5";398,3460671;3322,6517;2492,179572
"360";398,3460671;3363,7509;2398,13506
"360.5";398,3460671;3409,4489;2351,112804
"361";398,3460671;3450,5482;2280,57942
"361.5";398,3460671;3499,8865;2210,046036
"362";398,3460671;3540,0997;2139,512652
"362.5";398,3460671;3581,199;2092,490396
"363";331,9550559;3630,5374;2021,957012
"363.5";398,3460671;3667,9963;1974,934755
"364";398,3460671;3709,0955;1927,912499
"364.5";398,3460671;3758,4339;1880,890243
"365";331,9550559;3796,7789;1810,356859
"365.5";331,9550559;3845,2312;1763,334603
"366";331,9550559;3886,3304;1716,312347
"366.5";331,9550559;3924,6754;1669,290091
"367";331,9550559;3967,6429;1622,267835
"367.5";331,9550559;3999,617;1575,245579
"368";331,9550559;4048,9554;1528,223323
"368.5";331,9550559;4086,4143;1481,201067
"369";331,9550559;4135,7526;1434,178811
"369.5";331,9550559;4167,7268;1410,667682
"370";331,9550559;4205,1857;1363,645426
"370.5";398,3460671;4246,285;1340,134298
"371";398,3460671;4286,4982;1316,62317
"371.5";331,9550559;4319,3584;1269,600914
"372";331,9550559;4359,5716;1246,089786
"372.5";331,9550559;4391,5457;1222,578658
"373";331,9550559;4423,5198;1175,556402
