data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;286;0,557;0,611;0,679;0,752;0,825;0,895;0,968;1,037;1,112;1,175
observation;286,5;0,571;0,624;0,691;0,763;0,835;0,904;0,976;1,044;1,118;1,18
observation;287;0,585;0,638;0,703;0,774;0,844;0,912;0,984;1,051;1,124;1,187
observation;287,5;0,6;0,651;0,716;0,785;0,854;0,922;0,992;1,059;1,131;1,193
observation;288;0,616;0,666;0,729;0,797;0,865;0,932;1,001;1,067;1,138;1,199
observation;288,5;0,631;0,68;0,742;0,809;0,875;0,941;1,009;1,074;1,145;1,205
observation;289;0,646;0,694;0,754;0,82;0,885;0,95;1,017;1,081;1,151;1,211
observation;289,5;0,661;0,708;0,767;0,832;0,896;0,96;1,026;1,089;1,158;1,218
observation;290;0,676;0,722;0,78;0,843;0,907;0,97;1,035;1,097;1,166;1,225
observation;290,5;0,69;0,735;0,793;0,855;0,918;0,98;1,044;1,105;1,173;1,232
observation;291;0,706;0,75;0,806;0,868;0,929;0,99;1,053;1,114;1,182;1,24
observation;291,5;0,72;0,763;0,819;0,88;0,94;1,001;1,062;1,123;1,19;1,248
observation;292;0,734;0,776;0,831;0,891;0,951;1,01;1,072;1,132;1,199;1,256
observation;292,5;0,748;0,79;0,845;0,903;0,963;1,022;1,082;1,142;1,208;1,266
observation;293;0,762;0,803;0,857;0,915;0,974;1,032;1,092;1,151;1,218;1,275
observation;293,5;0,775;0,817;0,87;0,927;0,985;1,043;1,103;1,162;1,228;1,284
observation;294;0,789;0,83;0,882;0,939;0,997;1,054;1,114;1,173;1,238;1,295
observation;294,5;0,801;0,841;0,893;0,949;1,008;1,064;1,124;1,182;1,247;1,303
observation;295;0,813;0,853;0,905;0,962;1,019;1,076;1,134;1,192;1,257;1,314
observation;295,5;0,824;0,864;0,916;0,972;1,029;1,086;1,143;1,203;1,267;1,324
observation;296;0,835;0,875;0,926;0,982;1,039;1,096;1,154;1,213;1,277;1,334
observation;296,5;0,845;0,885;0,936;0,992;1,049;1,105;1,164;1,223;1,286;1,343
observation;297;0,853;0,893;0,945;1;1,058;1,115;1,173;1,231;1,295;1,352
observation;297,5;0,861;0,902;0,953;1,01;1,066;1,124;1,182;1,24;1,304;1,361
observation;298;0,868;0,909;0,961;1,017;1,074;1,132;1,19;1,249;1,313;1,369
observation;298,5;0,875;0,916;0,968;1,024;1,082;1,14;1,198;1,257;1,321;1,378
observation;299;0,881;0,922;0,974;1,032;1,09;1,147;1,206;1,265;1,329;1,386
observation;299,5;0,885;0,927;0,98;1,037;1,096;1,155;1,212;1,273;1,336;1,392
observation;300;0,888;0,931;0,984;1,042;1,101;1,16;1,219;1,279;1,344;1,4
observation;300,5;0,891;0,934;0,988;1,047;1,107;1,166;1,225;1,286;1,35;1,408
observation;301;0,892;0,936;0,991;1,05;1,111;1,171;1,23;1,292;1,355;1,413
observation;301,5;0,892;0,937;0,993;1,053;1,114;1,175;1,235;1,297;1,361;1,419
observation;302;0,891;0,937;0,994;1,055;1,116;1,179;1,239;1,301;1,366;1,424
observation;302,5;0,889;0,936;0,994;1,056;1,118;1,181;1,242;1,306;1,371;1,428
observation;303;0,885;0,934;0,993;1,055;1,119;1,183;1,245;1,308;1,374;1,432
observation;303,5;0,881;0,931;0,99;1,054;1,119;1,184;1,246;1,311;1,377;1,437
observation;304;0,874;0,926;0,987;1,052;1,118;1,184;1,248;1,314;1,38;1,439
observation;304,5;0,867;0,92;0,983;1,049;1,116;1,183;1,248;1,314;1,383;1,442
observation;305;0,859;0,913;0,977;1,045;1,113;1,183;1,247;1,316;1,383;1,442
observation;305,5;0,849;0,905;0,97;1,04;1,109;1,18;1,248;1,317;1,384;1,444
observation;306;0,838;0,896;0,963;1,034;1,106;1,178;1,245;1,316;1,384;1,445
observation;306,5;0,826;0,885;0,954;1,027;1,1;1,174;1,243;1,315;1,384;1,445
observation;307;0,812;0,874;0,945;1,019;1,093;1,17;1,24;1,313;1,383;1,443
observation;307,5;0,798;0,862;0,935;1,01;1,087;1,164;1,237;1,31;1,381;1,443
observation;308;0,782;0,848;0,923;1,001;1,079;1,158;1,231;1,307;1,378;1,442
observation;308,5;0,765;0,832;0,91;0,99;1,07;1,15;1,226;1,303;1,375;1,44
observation;309;0,746;0,816;0,896;0,978;1,06;1,143;1,219;1,298;1,371;1,435
observation;309,5;0,727;0,799;0,881;0,965;1,05;1,134;1,212;1,293;1,367;1,431
observation;310;0,708;0,782;0,866;0,953;1,039;1,125;1,205;1,286;1,362;1,427
observation;310,5;0,687;0,764;0,851;0,94;1,027;1,115;1,198;1,28;1,358;1,422
observation;311;0,666;0,745;0,834;0,925;1,015;1,104;1,189;1,274;1,352;1,418
observation;311,5;0,644;0,725;0,817;0,91;1,002;1,094;1,18;1,267;1,346;1,412
observation;312;0,621;0,705;0,799;0,895;0,988;1,083;1,171;1,259;1,339;1,405
observation;312,5;0,599;0,685;0,781;0,879;0,975;1,072;1,163;1,251;1,331;1,4
observation;313;0,577;0,666;0,764;0,864;0,962;1,06;1,153;1,243;1,324;1,394
observation;313,5;0,556;0,646;0,746;0,849;0,949;1,049;1,142;1,236;1,317;1,388
observation;314;0,533;0,626;0,728;0,833;0,934;1,036;1,132;1,225;1,309;1,379
observation;314,5;0,51;0,605;0,71;0,816;0,92;1,024;1,121;1,216;1,299;1,372
observation;315;0,486;0,584;0,691;0,8;0,905;1,01;1,11;1,206;1,291;1,362
observation;315,5;0,464;0,564;0,673;0,784;0,891;0,998;1,099;1,197;1,283;1,354
observation;316;0,444;0,546;0,657;0,77;0,878;0,986;1,089;1,188;1,275;1,347
observation;316,5;0,424;0,527;0,64;0,755;0,865;0,974;1,079;1,179;1,267;1,339
observation;317;0,404;0,509;0,624;0,74;0,852;0,963;1,068;1,169;1,257;1,33
observation;317,5;0,384;0,492;0,608;0,725;0,838;0,95;1,057;1,16;1,247;1,322
observation;318;0,366;0,474;0,592;0,71;0,825;0,938;1,047;1,149;1,239;1,313
observation;318,5;0,348;0,458;0,577;0,697;0,812;0,926;1,036;1,14;1,229;1,303
observation;319;0,33;0,442;0,562;0,683;0,8;0,915;1,025;1,13;1,219;1,294
observation;319,5;0,315;0,428;0,549;0,672;0,789;0,905;1,016;1,121;1,211;1,286
observation;320;0,301;0,414;0,537;0,66;0,778;0,895;1,007;1,113;1,202;1,276
observation;320,5;0,287;0,402;0,525;0,649;0,768;0,885;0,998;1,104;1,194;1,268
observation;321;0,274;0,39;0,513;0,638;0,758;0,875;0,989;1,095;1,186;1,259
observation;321,5;0,262;0,378;0,503;0,628;0,748;0,866;0,98;1,087;1,176;1,25
observation;322;0,251;0,367;0,492;0,618;0,739;0,857;0,972;1,078;1,167;1,241
observation;322,5;0,241;0,358;0,483;0,61;0,73;0,849;0,964;1,071;1,16;1,233
observation;323;0,232;0,349;0,475;0,602;0,723;0,842;0,957;1,063;1,152;1,226
observation;323,5;0,223;0,341;0,467;0,594;0,715;0,834;0,949;1,054;1,144;1,217
observation;324;0,215;0,334;0,459;0,587;0,707;0,827;0,941;1,047;1,136;1,208
observation;324,5;0,208;0,327;0,453;0,58;0,7;0,819;0,934;1,04;1,129;1,202
observation;325;0,202;0,321;0,447;0,574;0,694;0,813;0,928;1,033;1,121;1,194
observation;325,5;0,197;0,315;0,441;0,568;0,688;0,807;0,921;1,025;1,115;1,186
observation;326;0,192;0,31;0,436;0,563;0,682;0,801;0,915;1,019;1,108;1,178
observation;326,5;0,188;0,306;0,432;0,558;0,677;0,796;0,91;1,013;1,101;1,172
observation;327;0,184;0,303;0,428;0,554;0,673;0,791;0,904;1,007;1,095;1,165
observation;327,5;0,181;0,299;0,424;0,55;0,668;0,786;0,899;1,001;1,089;1,157
observation;328;0,178;0,296;0,42;0,546;0,664;0,781;0,894;0,995;1,082;1,151
observation;328,5;0,176;0,293;0,417;0,542;0,66;0,776;0,889;0,989;1,076;1,144
observation;329;0,174;0,291;0,414;0,539;0,656;0,773;0,884;0,984;1,07;1,138
observation;329,5;0,172;0,289;0,412;0,537;0,653;0,769;0,88;0,979;1,064;1,131
observation;330;0,171;0,287;0,41;0,534;0,649;0,765;0,876;0,975;1,059;1,126
observation;330,5;0,17;0,286;0,408;0,532;0,647;0,762;0,872;0,97;1,054;1,12
observation;331;0,169;0,284;0,406;0,529;0,644;0,758;0,868;0,965;1,048;1,114
observation;331,5;0,168;0,283;0,404;0,527;0,641;0,756;0,865;0,961;1,044;1,108
observation;332;0,168;0,282;0,403;0,525;0,639;0,753;0,861;0,957;1,038;1,104
observation;332,5;0,168;0,282;0,402;0,524;0,637;0,75;0,858;0,953;1,035;1,098
observation;333;0,168;0,281;0,401;0,522;0,635;0,748;0,855;0,949;1,031;1,094
observation;333,5;0,168;0,281;0,4;0,522;0,634;0,746;0,853;0,946;1,027;1,09
observation;334;0,168;0,281;0,4;0,521;0,633;0,744;0,851;0,944;1,024;1,087
observation;334,5;0,169;0,282;0,4;0,52;0,632;0,743;0,849;0,941;1,021;1,084
observation;335;0,17;0,282;0,4;0,519;0,631;0,742;0,848;0,939;1,018;1,08
observation;335,5;0,17;0,282;0,4;0,519;0,63;0,741;0,847;0,937;1,016;1,077
observation;336;0,171;0,283;0,4;0,519;0,63;0,74;0,846;0,935;1,014;1,075
observation;336,5;0,172;0,284;0,401;0,519;0,63;0,74;0,845;0,934;1,013;1,073
observation;337;0,173;0,285;0,402;0,52;0,63;0,74;0,845;0,933;1,012;1,072
observation;337,5;0,174;0,286;0,403;0,521;0,631;0,741;0,844;0,933;1,011;1,071
observation;338;0,175;0,287;0,404;0,522;0,632;0,741;0,845;0,933;1,011;1,07
observation;338,5;0,177;0,289;0,405;0,523;0,633;0,742;0,846;0,933;1,011;1,07
observation;339;0,179;0,29;0,407;0,525;0,635;0,744;0,848;0,934;1,012;1,07
observation;339,5;0,18;0,292;0,409;0,527;0,636;0,745;0,85;0,935;1,013;1,072
observation;340;0,182;0,294;0,411;0,528;0,638;0,747;0,851;0,938;1,015;1,073
observation;340,5;0,184;0,296;0,413;0,53;0,641;0,749;0,853;0,939;1,019;1,076
observation;341;0,186;0,298;0,415;0,533;0,644;0,753;0,856;0,941;1,019;1,077
observation;341,5;0,188;0,301;0,419;0,535;0,646;0,756;0,859;0,945;1,022;1,08
