data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;291,5;0,14;0,245;0,315;0,425;0,535;0,616;0,694;0,754;0,862;0,959
observation;292;0,133;0,229;0,294;0,394;0,496;0,569;0,642;0,695;0,793;0,883
observation;292,5;0,126;0,214;0,272;0,363;0,457;0,523;0,589;0,636;0,726;0,808
observation;293;0,12;0,201;0,254;0,336;0,423;0,483;0,543;0,585;0,668;0,743
observation;293,5;0,113;0,188;0,236;0,311;0,39;0,445;0,499;0,537;0,612;0,68
observation;294;0,108;0,176;0,22;0,288;0,361;0,411;0,46;0,494;0,562;0,625
observation;294,5;0,104;0,167;0,207;0,268;0,337;0,382;0,427;0,457;0,52;0,579
observation;295;0,099;0,157;0,194;0,249;0,313;0,354;0,396;0,422;0,48;0,534
observation;295,5;0,096;0,15;0,183;0,234;0,293;0,331;0,37;0,394;0,447;0,498
observation;296;0,092;0,143;0,173;0,22;0,275;0,31;0,347;0,368;0,418;0,465
observation;296,5;0,09;0,136;0,164;0,207;0,259;0,292;0,327;0,345;0,391;0,435
observation;297;0,087;0,131;0,157;0,197;0,246;0,277;0,309;0,326;0,369;0,411
observation;297,5;0,085;0,126;0,15;0,187;0,234;0,262;0,293;0,308;0,348;0,387
observation;298;0,084;0,122;0,145;0,179;0,224;0,25;0,279;0,292;0,33;0,367
observation;298,5;0,082;0,119;0,139;0,171;0,214;0,238;0,266;0,278;0,314;0,349
observation;299;0,081;0,115;0,135;0,164;0,205;0,228;0,254;0,264;0,298;0,332
observation;299,5;0,08;0,112;0,13;0,158;0,197;0,218;0,243;0,253;0,285;0,317
observation;300;0,079;0,11;0,127;0,153;0,189;0,21;0,234;0,242;0,272;0,302
observation;300,5;0,078;0,107;0,123;0,147;0,183;0,202;0,224;0,231;0,26;0,289
observation;301;0,077;0,105;0,12;0,143;0,176;0,195;0,216;0,223;0,25;0,277
observation;301,5;0,077;0,103;0,117;0,138;0,171;0,188;0,209;0,215;0,241;0,267
observation;302;0,076;0,102;0,115;0,135;0,166;0,183;0,202;0,207;0,232;0,257
observation;302,5;0,076;0,101;0,113;0,132;0,162;0,178;0,197;0,201;0,225;0,249
observation;303;0,076;0,1;0,111;0,129;0,159;0,173;0,191;0,195;0,218;0,241
observation;303,5;0,076;0,099;0,11;0,127;0,155;0,169;0,187;0,19;0,211;0,234
observation;304;0,076;0,098;0,108;0,124;0,152;0,165;0,182;0,185;0,206;0,227
observation;304,5;0,076;0,097;0,107;0,122;0,149;0,162;0,179;0,181;0,201;0,222
observation;305;0,077;0,097;0,107;0,121;0,147;0,159;0,176;0,177;0,197;0,217
observation;305,5;0,077;0,097;0,106;0,12;0,146;0,157;0,173;0,174;0,193;0,213
