PL
wavelength	7,35E-5	1,47E-4	2,205E-4	2,94E-4
326,50	0,026	0,055	0,091	0,121
327,00	0,024	0,052	0,086	0,115
327,50	0,023	0,049	0,081	0,109
328,00	0,021	0,046	0,078	0,104
328,50	0,020	0,044	0,074	0,100
329,00	0,019	0,042	0,072	0,096
329,50	0,019	0,041	0,070	0,094
330,00	0,018	0,040	0,069	0,092
330,50	0,018	0,040	0,068	0,091
331,00	0,018	0,039	0,067	0,090
331,50	0,018	0,039	0,067	0,090
332,00	0,018	0,039	0,067	0,090
332,50	0,018	0,039	0,067	0,091
333,00	0,018	0,040	0,068	0,091
333,50	0,018	0,041	0,069	0,093
334,00	0,019	0,041	0,070	0,094
334,50	0,019	0,042	0,071	0,096
335,00	0,020	0,043	0,073	0,098
335,50	0,020	0,044	0,075	0,100
336,00	0,021	0,046	0,076	0,103
336,50	0,021	0,047	0,078	0,105
337,00	0,022	0,048	0,080	0,108
337,50	0,023	0,050	0,083	0,111
338,00	0,024	0,052	0,085	0,114
338,50	0,025	0,053	0,087	0,117
339,00	0,025	0,055	0,090	0,121
339,50	0,026	0,057	0,093	0,124
340,00	0,027	0,058	0,095	0,127
340,50	0,028	0,060	0,098	0,131
341,00	0,029	0,062	0,101	0,135
341,50	0,030	0,064	0,104	0,139
342,00	0,031	0,066	0,107	0,143
342,50	0,032	0,068	0,110	0,147
343,00	0,033	0,070	0,113	0,151
343,50	0,034	0,073	0,116	0,155
344,00	0,035	0,075	0,119	0,159
344,50	0,036	0,077	0,123	0,163
345,00	0,037	0,079	0,126	0,168
345,50	0,039	0,082	0,129	0,172
346,00	0,040	0,084	0,133	0,177
346,50	0,041	0,086	0,136	0,181
347,00	0,042	0,088	0,139	0,186
347,50	0,043	0,091	0,143	0,190
348,00	0,044	0,093	0,146	0,195
348,50	0,046	0,095	0,150	0,200
349,00	0,047	0,098	0,153	0,204
349,50	0,048	0,100	0,157	0,209
350,00	0,049	0,103	0,160	0,214
350,50	0,050	0,105	0,164	0,219
351,00	0,052	0,108	0,168	0,225
351,50	0,053	0,111	0,172	0,230
352,00	0,055	0,114	0,176	0,235
352,50	0,056	0,117	0,180	0,241
353,00	0,057	0,119	0,184	0,246
353,50	0,058	0,122	0,188	0,251
354,00	0,060	0,125	0,193	0,257
354,50	0,061	0,128	0,197	0,263
355,00	0,063	0,131	0,201	0,268
355,50	0,064	0,133	0,205	0,273
356,00	0,066	0,136	0,209	0,279
356,50	0,067	0,139	0,214	0,285
357,00	0,068	0,142	0,218	0,291
357,50	0,070	0,145	0,222	0,296
358,00	0,071	0,148	0,227	0,302
358,50	0,073	0,151	0,231	0,308
359,00	0,074	0,154	0,236	0,314
359,50	0,076	0,157	0,240	0,320
360,00	0,077	0,160	0,244	0,326
360,50	0,079	0,163	0,249	0,331
361,00	0,080	0,166	0,253	0,337
361,50	0,082	0,169	0,258	0,343
362,00	0,083	0,172	0,262	0,349
362,50	0,085	0,175	0,266	0,355
363,00	0,086	0,178	0,271	0,360
363,50	0,088	0,181	0,275	0,366
364,00	0,089	0,184	0,279	0,371
364,50	0,090	0,186	0,283	0,377
365,00	0,092	0,189	0,287	0,383
365,50	0,094	0,192	0,292	0,389
366,00	0,095	0,195	0,296	0,395
366,50	0,096	0,198	0,300	0,400
367,00	0,098	0,201	0,304	0,405
367,50	0,099	0,204	0,308	0,410
368,00	0,101	0,206	0,312	0,416
368,50	0,102	0,209	0,317	0,421
369,00	0,104	0,212	0,321	0,428
369,50	0,105	0,215	0,325	0,433
370,00	0,106	0,218	0,329	0,438
370,50	0,107	0,220	0,333	0,443
371,00	0,109	0,223	0,337	0,448
371,50	0,110	0,226	0,341	0,453
372,00	0,111	0,228	0,345	0,459
372,50	0,113	0,231	0,349	0,464
373,00	0,114	0,234	0,353	0,469
373,50	0,115	0,236	0,356	0,474
374,00	0,116	0,238	0,359	0,478
374,50	0,118	0,241	0,363	0,483
375,00	0,119	0,244	0,367	0,489
375,50	0,120	0,246	0,371	0,494
376,00	0,122	0,249	0,374	0,498
376,50	0,123	0,251	0,377	0,502
377,00	0,124	0,253	0,381	0,506
377,50	0,125	0,255	0,384	0,510
378,00	0,126	0,257	0,387	0,515
378,50	0,127	0,259	0,390	0,519
379,00	0,128	0,261	0,393	0,523
379,50	0,129	0,263	0,396	0,527
380,00	0,130	0,265	0,399	0,530
380,50	0,131	0,267	0,401	0,534
381,00	0,132	0,269	0,404	0,537
381,50	0,133	0,271	0,407	0,541
382,00	0,133	0,272	0,409	0,544
382,50	0,134	0,274	0,411	0,547
383,00	0,135	0,275	0,413	0,550
383,50	0,135	0,277	0,415	0,552
384,00	0,136	0,278	0,417	0,555
384,50	0,137	0,279	0,419	0,557
385,00	0,137	0,280	0,421	0,560
385,50	0,138	0,282	0,423	0,562
386,00	0,138	0,283	0,424	0,564
386,50	0,139	0,283	0,426	0,566
387,00	0,139	0,284	0,427	0,568
387,50	0,140	0,285	0,428	0,569
388,00	0,140	0,286	0,429	0,571
388,50	0,141	0,287	0,430	0,572
389,00	0,141	0,287	0,431	0,574
389,50	0,141	0,288	0,432	0,574
390,00	0,141	0,288	0,432	0,575
390,50	0,142	0,289	0,433	0,576
391,00	0,142	0,289	0,433	0,576
391,50	0,142	0,289	0,433	0,577
392,00	0,142	0,289	0,434	0,577
392,50	0,142	0,289	0,434	0,577
393,00	0,142	0,289	0,434	0,577
393,50	0,142	0,289	0,433	0,577
394,00	0,141	0,289	0,433	0,576
394,50	0,141	0,288	0,433	0,576
395,00	0,141	0,288	0,432	0,575
395,50	0,141	0,288	0,431	0,574
396,00	0,141	0,287	0,430	0,573
396,50	0,141	0,287	0,430	0,572
397,00	0,140	0,286	0,429	0,570
397,50	0,140	0,285	0,427	0,569
398,00	0,139	0,284	0,426	0,567
398,50	0,139	0,283	0,424	0,565
399,00	0,138	0,282	0,423	0,563
399,50	0,138	0,281	0,421	0,561
400,00	0,137	0,280	0,420	0,559
400,50	0,136	0,279	0,418	0,556
401,00	0,136	0,277	0,416	0,553
401,50	0,135	0,276	0,413	0,550
402,00	0,134	0,274	0,411	0,547
402,50	0,133	0,273	0,409	0,544
403,00	0,132	0,271	0,406	0,541
403,50	0,131	0,269	0,403	0,537
404,00	0,130	0,267	0,400	0,533
404,50	0,129	0,265	0,397	0,529
405,00	0,128	0,263	0,394	0,525
405,50	0,127	0,261	0,391	0,521
406,00	0,126	0,258	0,388	0,517
406,50	0,125	0,256	0,384	0,512
407,00	0,124	0,254	0,381	0,507
407,50	0,122	0,251	0,377	0,502
408,00	0,121	0,248	0,373	0,497
408,50	0,120	0,246	0,369	0,492
409,00	0,119	0,243	0,365	0,486
409,50	0,117	0,240	0,361	0,481
410,00	0,116	0,237	0,357	0,475
410,50	0,114	0,234	0,352	0,470
411,00	0,112	0,231	0,348	0,463
411,50	0,111	0,228	0,343	0,457
412,00	0,109	0,225	0,338	0,451
412,50	0,108	0,222	0,333	0,445
413,00	0,106	0,219	0,329	0,438
413,50	0,105	0,215	0,324	0,432
414,00	0,103	0,212	0,319	0,426
414,50	0,101	0,209	0,314	0,419
415,00	0,099	0,206	0,309	0,413
415,50	0,098	0,202	0,304	0,405
416,00	0,096	0,198	0,299	0,399
416,50	0,094	0,195	0,294	0,392
417,00	0,093	0,192	0,289	0,386
417,50	0,091	0,188	0,284	0,379
418,00	0,089	0,185	0,278	0,371
418,50	0,087	0,181	0,273	0,364
419,00	0,085	0,177	0,268	0,357
419,50	0,083	0,174	0,262	0,350
420,00	0,082	0,170	0,257	0,343
420,50	0,080	0,167	0,252	0,336
421,00	0,078	0,163	0,247	0,330
421,50	0,076	0,159	0,241	0,322
422,00	0,074	0,156	0,235	0,314
422,50	0,073	0,152	0,230	0,308
423,00	0,071	0,149	0,225	0,301
423,50	0,069	0,145	0,220	0,294
424,00	0,067	0,141	0,214	0,287
424,50	0,065	0,138	0,209	0,280
425,00	0,064	0,134	0,204	0,273
425,50	0,062	0,130	0,198	0,266
426,00	0,060	0,127	0,193	0,259
426,50	0,058	0,124	0,188	0,253
427,00	0,057	0,121	0,184	0,246
427,50	0,055	0,117	0,179	0,240
428,00	0,053	0,114	0,174	0,233
428,50	0,052	0,111	0,169	0,226
429,00	0,050	0,107	0,164	0,220
429,50	0,049	0,104	0,160	0,214
430,00	0,047	0,101	0,155	0,208
430,50	0,046	0,098	0,151	0,202
431,00	0,044	0,095	0,146	0,196
431,50	0,042	0,092	0,141	0,190
432,00	0,041	0,089	0,137	0,184
432,50	0,039	0,086	0,132	0,178
433,00	0,038	0,083	0,128	0,172
433,50	0,037	0,080	0,124	0,167
434,00	0,035	0,077	0,120	0,162
434,50	0,034	0,075	0,116	0,156
435,00	0,033	0,072	0,112	0,151
435,50	0,031	0,069	0,108	0,145
436,00	0,030	0,067	0,104	0,140
436,50	0,029	0,064	0,100	0,135
437,00	0,028	0,062	0,097	0,131
437,50	0,026	0,059	0,093	0,126
438,00	0,025	0,057	0,090	0,121
438,50	0,024	0,055	0,086	0,117
439,00	0,023	0,052	0,083	0,112
439,50	0,022	0,050	0,079	0,108
440,00	0,021	0,048	0,076	0,104
440,50	0,020	0,046	0,073	0,100
441,00	0,018	0,044	0,070	0,096
441,50	0,017	0,042	0,067	0,092
442,00	0,016	0,040	0,064	0,088
442,50	0,015	0,038	0,062	0,084
443,00	0,015	0,036	0,059	0,081
443,50	0,014	0,034	0,056	0,077
444,00	0,013	0,033	0,054	0,074
444,50	0,012	0,031	0,051	0,070
445,00	0,011	0,029	0,049	0,067
445,50	0,010	0,028	0,047	0,064
446,00	0,010	0,026	0,044	0,061
446,50	0,009	0,025	0,042	0,058
447,00	0,008	0,023	0,040	0,055
447,50	0,008	0,022	0,038	0,053
448,00	0,007	0,021	0,036	0,050
448,50	0,006	0,019	0,034	0,047
449,00	0,006	0,018	0,032	0,045
449,50	0,005	0,017	0,031	0,043
450,00	0,004	0,016	0,029	0,041
450,50	0,004	0,015	0,027	0,038
451,00	0,003	0,013	0,025	0,036
451,50	0,003	0,012	0,024	0,034
452,00	0,002	0,011	0,022	0,032
452,50	0,002	0,010	0,021	0,030
453,00	0,001	0,010	0,019	0,028
453,50	0,001	0,009	0,018	0,026
454,00	0,001	0,008	0,017	0,025
454,50	0,000	0,007	0,016	0,023
455,00	-0,000	0,006	0,015	0,022
455,50	-0,001	0,005	0,013	0,020
456,00	-0,001	0,005	0,012	0,018
456,50	-0,001	0,004	0,011	0,017
457,00	-0,002	0,003	0,010	0,016
457,50	-0,002	0,003	0,009	0,015
458,00	-0,002	0,002	0,008	0,013
458,50	-0,002	0,001	0,007	0,012
459,00	-0,003	0,001	0,007	0,011
459,50	-0,003	0,000	0,006	0,010
460,00	-0,003	-0,000	0,005	0,009
460,50	-0,003	-0,001	0,004	0,008
461,00	-0,004	-0,001	0,004	0,007
461,50	-0,004	-0,002	0,003	0,006
462,00	-0,004	-0,002	0,002	0,005
462,50	-0,004	-0,002	0,002	0,004
463,00	-0,005	-0,003	0,001	0,004
463,50	-0,005	-0,003	0,001	0,003
464,00	-0,005	-0,004	0,000	0,002
464,50	-0,005	-0,004	-0,000	0,002
465,00	-0,005	-0,004	-0,001	0,001
465,50	-0,005	-0,004	-0,001	0,000
466,00	-0,006	-0,005	-0,002	-0,000
466,50	-0,006	-0,005	-0,002	-0,001
467,00	-0,006	-0,005	-0,002	-0,001
467,50	-0,006	-0,005	-0,003	-0,002
468,00	-0,006	-0,006	-0,003	-0,002
468,50	-0,006	-0,006	-0,004	-0,003
469,00	-0,006	-0,006	-0,004	-0,003
469,50	-0,006	-0,006	-0,004	-0,003
470,00	-0,006	-0,006	-0,004	-0,004
470,50	-0,007	-0,007	-0,005	-0,004
471,00	-0,007	-0,007	-0,005	-0,004
471,50	-0,007	-0,007	-0,005	-0,005
472,00	-0,007	-0,007	-0,005	-0,005
472,50	-0,007	-0,007	-0,006	-0,005
473,00	-0,007	-0,007	-0,006	-0,006
473,50	-0,007	-0,007	-0,006	-0,006
474,00	-0,007	-0,008	-0,006	-0,006
474,50	-0,007	-0,008	-0,006	-0,006
475,00	-0,007	-0,008	-0,006	-0,006
475,50	-0,007	-0,008	-0,007	-0,007
476,00	-0,007	-0,008	-0,007	-0,007
476,50	-0,007	-0,008	-0,007	-0,007
477,00	-0,007	-0,008	-0,007	-0,007
477,50	-0,007	-0,008	-0,007	-0,007
478,00	-0,007	-0,008	-0,007	-0,008
478,50	-0,007	-0,008	-0,007	-0,008
479,00	-0,007	-0,008	-0,007	-0,008
479,50	-0,007	-0,009	-0,008	-0,008
480,00	-0,007	-0,009	-0,008	-0,008
480,50	-0,007	-0,009	-0,008	-0,008
481,00	-0,007	-0,009	-0,008	-0,008
481,50	-0,007	-0,009	-0,008	-0,008
482,00	-0,007	-0,009	-0,008	-0,008
482,50	-0,007	-0,009	-0,008	-0,008
483,00	-0,007	-0,009	-0,008	-0,008
483,50	-0,007	-0,009	-0,008	-0,008
484,00	-0,007	-0,009	-0,008	-0,008
484,50	-0,007	-0,009	-0,008	-0,009
485,00	-0,007	-0,009	-0,008	-0,009
485,50	-0,007	-0,009	-0,008	-0,009
486,00	-0,007	-0,009	-0,008	-0,009
486,50	-0,007	-0,009	-0,008	-0,009
487,00	-0,007	-0,009	-0,008	-0,009
487,50	-0,007	-0,009	-0,008	-0,009
488,00	-0,007	-0,009	-0,008	-0,009
488,50	-0,007	-0,009	-0,008	-0,009
489,00	-0,007	-0,009	-0,008	-0,009
489,50	-0,007	-0,009	-0,008	-0,009
490,00	-0,007	-0,009	-0,008	-0,009
490,50	-0,007	-0,009	-0,008	-0,009
491,00	-0,007	-0,009	-0,008	-0,009
491,50	-0,007	-0,009	-0,008	-0,009
492,00	-0,007	-0,009	-0,008	-0,009
492,50	-0,007	-0,009	-0,008	-0,009
493,00	-0,007	-0,009	-0,008	-0,009
493,50	-0,007	-0,009	-0,008	-0,009
494,00	-0,007	-0,009	-0,008	-0,009
494,50	-0,007	-0,009	-0,008	-0,009
495,00	-0,007	-0,009	-0,008	-0,009
495,50	-0,007	-0,009	-0,008	-0,009
496,00	-0,007	-0,009	-0,008	-0,009
496,50	-0,007	-0,009	-0,008	-0,009
497,00	-0,007	-0,009	-0,008	-0,009
497,50	-0,007	-0,009	-0,008	-0,009
498,00	-0,007	-0,009	-0,008	-0,009
498,50	-0,007	-0,009	-0,008	-0,009
499,00	-0,007	-0,009	-0,008	-0,009
499,50	-0,007	-0,009	-0,008	-0,009
500,00	-0,007	-0,009	-0,008	-0,009
