"wavelength";"INH";"PL";"SB"
"399";9,99999999999977;1926,5306122449;15651,5666489047
"399.5";9,99999999999977;1917,00680272109;15518,9736139802
"400";9,99999999999977;1912,92517006803;15377,9201758647
"400.5";NA;1903,40136054422;0
"401";NA;1891,15646258503;0
"401.5";NA;1880,27210884354;0
"402";NA;1872,10884353742;0
"402.5";NA;1862,58503401361;0
"403";NA;1853,0612244898;0
"403.5";NA;1839,45578231293;0
"404";NA;1825,85034013605;0
"404.5";NA;1812,24489795918;0
"405";NA;1798,63945578231;0
"405.5";NA;1785,03401360544;0
"406";NA;1772,78911564626;0
"406.5";NA;1753,74149659864;0
"407";NA;1736,05442176871;0
"407.5";NA;1722,44897959184;0
"408";NA;1704,76190476191;0
"408.5";NA;1685,71428571429;0
"409";NA;1663,94557823129;0
"409.5";NA;1650,34013605442;0
"410";NA;1628,57142857143;0
"410.5";NA;1613,60544217687;0
"411";NA;1591,83673469388;0
"411.5";NA;1568,7074829932;0
"412";NA;1549,65986394558;0
"412.5";NA;1526,5306122449;0
"413";NA;1504,7619047619;0
"413.5";NA;1482,99319727891;0
"414";NA;1463,94557823129;0
"414.5";NA;1440,81632653061;0
"415";NA;1421,76870748299;0
"415.5";NA;1391,83673469388;0
"416";NA;1374,14965986395;0
"416.5";NA;1351,02040816327;0
"417";NA;1327,89115646258;0
"417.5";NA;1306,12244897959;0
"418";NA;1277,55102040816;0
"418.5";NA;1255,78231292517;0
"419";NA;1234,01360544218;0
"419.5";NA;1209,52380952381;0
"420";NA;1183,67346938776;0
"420.5";NA;1160,54421768707;0
"421";NA;1142,85714285714;0
"421.5";NA;1115,6462585034;0
"422";NA;1087,07482993197;0
"422.5";NA;1065,30612244898;0
"423";NA;1042,1768707483;0
"423.5";NA;1020,40816326531;0
"424";NA;997,278911564626;0
"424.5";NA;974,149659863946;0
"425";NA;948,299319727891;0
"425.5";NA;925,170068027211;0
"426";NA;902,040816326531;0
"426.5";NA;882,993197278911;0
"427";NA;857,142857142857;0
"427.5";NA;839,455782312925;0
"428";NA;816,326530612245;0
"428.5";NA;789,115646258503;0
"429";NA;771,428571428572;0
"429.5";NA;749,659863945578;0
"430";NA;730,612244897959;0
"430.5";NA;708,843537414966;0
"431";NA;689,795918367347;0
"431.5";NA;670,748299319728;0
"432";NA;648,979591836735;0
"432.5";NA;629,931972789116;0
"433";NA;608,163265306123;0
"433.5";NA;590,47619047619;0
"434";NA;576,87074829932;0
"434.5";NA;553,74149659864;0
"435";NA;536,054421768707;0
"435.5";NA;518,367346938776;0
"436";NA;499,319727891156;0
"436.5";NA;481,632653061225;0
"437";NA;468,027210884354;0
"437.5";NA;454,421768707483;0
"438";NA;436,734693877551;0
"438.5";NA;421,768707482993;0
"439";NA;405,442176870748;0
"439.5";NA;390,476190476191;0
"440";NA;376,87074829932;0
"440.5";NA;363,265306122449;0
"441";NA;353,741496598639;0
"441.5";NA;340,136054421769;0
"442";NA;326,530612244898;0
"442.5";NA;314,285714285714;0
"443";NA;300,680272108844;0
"443.5";NA;287,074829931973;0
"444";NA;277,551020408163;0
"444.5";NA;263,945578231293;0
"445";NA;255,78231292517;0
"445.5";NA;246,258503401361;0
"446";NA;232,65306122449;0
"446.5";NA;223,12925170068;0
"447";NA;214,965986394558;0
"447.5";NA;205,442176870748;0
"448";NA;195,918367346939;0
"448.5";NA;187,755102040816;0
"449";NA;178,231292517007;0
"449.5";NA;174,149659863946;0
"450";NA;168,707482993197;0
"450.5";NA;155,102040816327;0
"451";NA;151,020408163265;0
"451.5";NA;142,857142857143;0
"452";NA;137,414965986395;0
"452.5";NA;129,251700680272;0
"453";NA;122,448979591837;0
"453.5";NA;114,285714285714;0
"454";NA;110,204081632653;0
"454.5";NA;106,122448979592;0
"455";NA;102,040816326531;0
"455.5";NA;96,5986394557823;0
"456";NA;87,0748299319728;0
"456.5";NA;82,9931972789116;0
"457";NA;82,9931972789116;0
"457.5";NA;77,5510204081633;0
"458";NA;69,3877551020408;0
"458.5";NA;65,3061224489796;0
"459";NA;65,3061224489796;0
"459.5";NA;61,2244897959184;0
"460";NA;55,7823129251701;0
"460.5";NA;51,7006802721088;0
"461";NA;51,7006802721088;0
"461.5";NA;47,6190476190476;0
"462";NA;42,1768707482993;0
"462.5";NA;38,0952380952381;0
"463";NA;42,1768707482993;0
"463.5";NA;38,0952380952381;0
"464";NA;34,0136054421769;0
"464.5";NA;34,0136054421769;0
"465";NA;28,5714285714286;0
"465.5";NA;24,4897959183673;0
"466";NA;28,5714285714286;0
"466.5";NA;24,4897959183674;0
"467";NA;24,4897959183674;0
"467.5";NA;19,0476190476191;0
"468";NA;20,4081632653061;0
"468.5";NA;14,9659863945578;0
"469";NA;14,9659863945578;0
"469.5";NA;14,9659863945578;0
"470";NA;10,8843537414966;0
"470.5";NA;14,9659863945578;0
"471";NA;14,9659863945578;0
"471.5";NA;10,8843537414966;0
"472";NA;10,8843537414966;0
"472.5";NA;9,52380952380952;0
"473";NA;5,4421768707483;0
"473.5";NA;5,4421768707483;0
"474";NA;6,80272108843538;0
"474.5";NA;6,80272108843538;0
"475";NA;6,80272108843538;0
"475.5";NA;1,36054421768708;0
"476";NA;1,36054421768708;0
"476.5";NA;1,36054421768708;0
"477";NA;1,36054421768708;0
"477.5";NA;1,36054421768708;0
"478";NA;0;0
"478.5";NA;0;0
