"label";"observed";"Curve 215";"Curve 244";"Curve 299";"Curve 401";"predicted"
283;0,3057;1,17392776860584e-27;0,000804487550944575;0,313255012845941;0,000121150900584813;0,31418065129747
283,5;0,3164;4,65020522964034e-28;0,000679170480969258;0,326867297935471;0,000128091388336105;0,327674559804776
284;0,3274;1,82972448348798e-28;0,000572166739068923;0,340535443282448;0,000135395658654119;0,341243005680171
284,5;0,3388;7,15125251050868e-29;0,000481006280214751;0,35421795544551;0,000143080703298038;0,354842042429023
285;0,3499;2,77626783649746e-29;0,000403518283952287;0,367871571493471;0,0001511641873266;0,36842625396475
285,5;0,3609;1,07059064698198e-29;0,000337800292809266;0,381451465036484;0,000159664469168642;0,381948929798462
286;0,3724;4,10079786548713e-30;0,000282189700035559;0,394911472870456;0,000168600620940036;0,395362263191431
286,5;0,384;1,56025691240428e-30;0,000235237538637426;0,40820434085405;0,00017799244898962;0,408617570841677
287;0,395;5,89666835462992e-31;0,000195684500386589;0,421281987370498;0,000187860514655385;0,42166553238554
287,5;0,4065;2,21360498613514e-31;0,000162439095088766;0,434095782470391;0,000198226155210706;0,434456447720691
288;0,4188;8,25422648033555e-32;0,000134557846406008;0,446596840550987;0,000209111504978947;0,446940509902372
288,5;0,4306;3,05728180827151e-32;0,00011122741045635;0,458736324206063;0,00022053951659329;0,459068091133113
289;0,4412;1,12480541390273e-32;9,17484967824987e-05;0,47046575668202;0,000232533982377054;0,470790039161179
289,5;0,4524;4,11057104359808e-33;7,55214676224364e-05;0,48173734020417;0,000245119555818229;0,48205798122761
290;0,4635;1,49214062219544e-33;6,20334902852992e-05;0,492504277295299;0,000258321773110318;0,492824632558694
290,5;0,4734;5,38022184779745e-34;5,08471184192214e-05;0,502721092099441;0,000272167074729952;0,50304410629259
291;0,4839;1,92696332179484e-34;4,15901806696185e-05;0,512343948649877;0,00028668282702007;0,512672221657566
291,5;0,4935;6,85534865714643e-35;3,39468593161055e-05;0,521330962983475;0,000301897343745767;0,521666807186537
292;0,5027;2,42252619296129e-35;2,76498466291452e-05;0,529642506005119;0,000317839907588183;0,529987995759336
292,5;0,5123;8,50335381657547e-36;2,2473472624618e-05;0,53724149404683;0,000334540791540077;0,537598508310995
293;0,5205;2,96479625435993e-36;1,82277043721296e-05;0,544093664146592;0,000352031280164975;0,544463923131129
293,5;0,5288;1,02679156242013e-36;1,475292382134e-05;0,550167831191274;0,000370343690679988;0,550552927805775
294;0,5365;3,53225919095005e-37;1,19153980724332e-05;0,555436124225518;0,000389511393820641;0,555837551017411
294,5;0,5429;1,20699555608389e-37;9,60336298449849e-06;0,559874199422218;0,000409568834444233;0,560293371619646
295;0,5495;4,09677028767098e-38;7,72364786901145e-06;0,563461427438112;0,00043055155182647;0,563899702637808
295,5;0,5551;1,38121214893862e-38;6,19877565952053e-06;0,566181053137138;0,00045249619960431;0,566639748112402
296;0,5598;4,62553531419384e-39;4,96447930991116e-06;0,568020325951238;0,000475440565316139;0,568500730995864
296,5;0,564;1,53867340357502e-39;3,96758119847218e-06;0,568970599459447;0,000499423589488676;0,569473990630134
297;0,5672;5,08409582546699e-40;3,16418796644099e-06;0,569027399097085;0,00052448538421813;0,569555048669269
297,5;0,5696;1,66864458286017e-40;2,51815847504291e-06;0,5681904572531;0,000550667251191476;0,568743642662766
298;0,5714;5,43997360976068e-41;1,99980741350672e-06;0,566463715370387;0,000578011699091909;0,567043726876893
298,5;0,5724;1,76162140037866e-41;1,58481153117355e-06;0,563855293025993;0,000606562460330856;0,564463440297855
299;0,5725;5,66645177287934e-42;1,25328950653181e-06;0,560377424330618;0,000636364507047243;0,561015042127171
299,5;0,5717;1,81047549447145e-42;9,89030117860789e-07;0,556046362344506;0,000667464066313073;0,556714815440937
300;0,57;5,74588513063584e-43;7,78846661824752e-07;0,550882252554683;0,000699908634482779;0,551582940035827
300,5;0,5673;1,81135703787516e-43;6,12038498822036e-07;0,544908976791662;0,000733746990622255;0,545643335820783
301;0,5638;5,67197125029491e-44;4,79943210344882e-07;0,538153969277677;0,000769029208952002;0,538923478429839
301,5;0,5591;1,76419592072169e-44;3,7556515849774e-07;0,530648006788782;0,000805806670237365;0,531454189024177
