"wavelength"	"INH"	"INH_adj.r.squared"	"PL"	"PL_adj.r.squared"
"305"	4460	0.999343321986652	5170.06802721088	0.999790195554362
"305.5"	4420	0.999331386622274	5096.59863945578	0.999792225707295
"306"	4400	0.999325296559701	5016.32653061225	0.999791921876189
"306.5"	4370	0.99921484056029	4921.08843537415	0.999783791219814
"307"	4350	0.999207606973059	4834.01360544218	0.999823449669889
"307.5"	4310	0.999393669768877	4733.33333333333	0.999785133217818
"308"	4290	0.999185296226292	4619.04761904762	0.99978269723479
"308.5"	4250	0.999169894853348	4493.87755102041	0.999751732442906
"309"	4210	0.999364532649485	4361.90476190476	0.999765954218077
"309.5"	4180	0.999252433405547	4225.85034013605	0.999750643600682
"310"	4140	0.999440050395465	4089.79591836735	0.999783564632956
"310.5"	4100	0.999222986901779	3948.29931972789	0.999826181526326
"311"	4060	0.999207606973059	3790.47619047619	0.999798269705417
"311.5"	4030	0.999306518723994	3640.81632653061	0.999781346603333
"312"	3990	0.999292549584321	3476.19047619048	0.999809308063971
"312.5"	3940	0.99915862495278	3317.00680272109	0.99982437665488
"313"	3900	0.999141284918159	3164.62585034014	0.999771580639796
"313.5"	3860	0.999123403341801	3013.60544217687	0.999807412283428
"314"	3810	0.999224151386887	2846.25850340136	0.999802606327564
"314.5"	3770	0.999207606973059	2681.63265306123	0.999840164931259
"315"	3720	0.999306518723994	2518.36734693878	0.999818771586537
"315.5"	3680	0.999291366481635	2364.62585034014	0.999813308087997
"316"	3630	0.999145333724423	2214.96598639456	0.999787230831912
"316.5"	3590	0.999126190500812	2074.82993197279	0.999774288201722
"317"	3540	0.998957845931346	1934.69387755102	0.999750793603703
